region,accum_cases,recovered,active_cases,date,new_case
Western North,82,57,,6/18/2020,0
Ahafo,8,0,8,6/18/2020,25
Ashanti,2637,1760,877,6/18/2020,0
Bono,1,1,0,6/18/2020,16
Bono East,23,,,6/18/2020,12
Central,789,619,170,6/18/2020,67
Eastern,358,209,149,6/18/2020,57
Greater Accra,7860,6068,1792,6/18/2020,0
Western,1142,950,,6/18/2020,0
Northern East,2,,1,6/18/2020,0
Volta,309,251,58,6/18/2020,0
Upper West,32,32,0,6/18/2020,0
Northern,61,32,,6/18/2020,0
Savannah,,37,0,6/18/2020,3
Oti,105,21,84,6/18/2020,0
Upper East,271,23,248,6/18/2020,
Ahafo,8,0,8,6/19/2020,0
Ashanti,,1869,870,6/19/2020,11
Bono,3,,2,6/19/2020,0
Bono East,33,13,20,6/19/2020,0
Central,794,660,134,6/19/2020,1
Greater Accra,8022,6181,1841,6/19/2020,0
Northern,61,32,29,6/19/2020,
Eastern,362,215,147,6/19/2020,0
Oti,105,31,74,6/19/2020,0
Savannah,37,37,0,6/19/2020,0
Upper East,271,23,248,6/19/2020,0
Upper West,32,32,0,6/19/2020,0
Volta,,251,63,6/19/2020,0
Western,1142,1069,73,6/19/2020,5
Western North,82,57,25,6/19/2020,2
Northern East,2,2,0,6/19/2020,0
Greater Accra,8075,6181,1894,6/20/2020,0
Ahafo,8,,8,6/20/2020,45
Ashanti,2812,1869,943,6/20/2020,0
Bono,3,1,2,6/20/2020,0
Bono East,33,13,20,6/20/2020,0
Central,,660,134,6/20/2020,48
Northern,61,32,,6/20/2020,76
Eastern,373,215,158,6/20/2020,0
Oti,105,31,74,6/20/2020,8
Western North,82,,25,6/20/2020,0
Savannah,37,37,0,6/20/2020,0
Upper East,271,23,248,6/20/2020,0
Upper West,35,32,3,6/20/2020,0
Volta,314,251,63,6/20/2020,0
Western,1148,1069,79,6/20/2020,7
Northern East,3,2,1,6/20/2020,0
Ahafo,8,0,8,6/21/2020,0
Ashanti,2867,1887,980,6/21/2020,0
Bono,3,1,2,6/21/2020,0
Bono East,,16,17,6/21/2020,
Central,794,660,134,6/21/2020,7
Eastern,400,223,177,6/21/2020,0
Greater Accra,8407,6485,1922,6/21/2020,76
Northern,61,61,0,6/21/2020,0
Oti,105,32,73,6/21/2020,0
Savannah,37,37,0,6/21/2020,0
Upper East,,23,248,6/21/2020,
Upper West,35,35,0,6/21/2020,0
Volta,314,281,,6/21/2020,0
Western,1148,1099,49,6/21/2020,0
Western North,82,,17,6/21/2020,0
Northern East,3,2,1,6/21/2020,0
Greater Accra,8691,6560,2131,6/22/2020,5
Ahafo,8,1,7,6/22/2020,81
Ashanti,2915,1918,997,6/22/2020,0
Bono,3,2,1,6/22/2020,10
Bono East,35,16,19,6/22/2020,28
Central,798,660,138,6/22/2020,12
Northern,77,61,16,6/22/2020,157
Eastern,407,230,177,6/22/2020,0
Oti,105,34,71,6/22/2020,0
Western,1213,1150,63,6/22/2020,0
Volta,321,284,37,6/22/2020,0
Upper West,35,35,0,6/22/2020,0
Northern East,4,2,2,6/22/2020,0
Savannah,38,37,1,6/22/2020,4
Western North,92,65,27,6/22/2020,25
Upper East,271,23,248,6/22/2020,18
Ahafo,8,1,7,6/23/2020,16
Ashanti,,1955,1002,6/23/2020,
Bono,4,2,2,6/23/2020,0
Bono East,47,16,,6/23/2020,4
Central,798,743,55,6/23/2020,17
Greater Accra,8984,,2287,6/23/2020,9
Eastern,452,272,180,6/23/2020,50
Oti,108,34,74,6/23/2020,0
Savannah,38,37,1,6/23/2020,0
Upper East,271,40,231,6/23/2020,14
Upper West,35,35,0,6/23/2020,0
Volta,321,284,37,6/23/2020,0
Western,1257,1187,70,6/23/2020,0
Western North,94,65,29,6/23/2020,2
Northern East,4,2,2,6/23/2020,0
Northern,95,61,34,6/23/2020,0
